sex,sexage_rec,health_cond,educ,mjday30a,mjage,alctry,cigtry,smklsstry,oxcnnmage,mjmfu,poverty3,irfamin3,cig30use,mjever,age2,smklss30n
Male,Males Aged 18-25,Very Good,Some coll/Assoc,26,14,9,14,15,991,99,3,6,1,1,8,93
Female,Females Aged 12-17,Very Good,12-17yrsold,3,15,16,14,991,991,99,1,2,93,1,6,91
Male,Other,Good,Less HS,30,16,19,17,21,991,99,3,7,30,1,13,93
Female,Other,Excellent,Some coll/Assoc,9,16,15,18,991,993,99,3,3,30,1,13,91
Female,Other,Excellent,College grad,7,16,16,9,991,991,99,3,7,1,1,14,91
Male,Other,Good,Some coll/Assoc,25,16,15,16,991,991,99,3,6,93,1,13,91
Male,Males Aged 12-17,Very Good,12-17yrsold,12,12,4,10,991,991,1,1,2,4,1,2,91
Female,Other,Very Good,College grad,2,15,14,15,991,991,99,3,7,93,1,14,91
Male,Other,Good,College grad,30,20,20,18,21,991,99,1,1,20,1,13,93
Female,Females Aged 12-17,Very Good,12-17yrsold,16,13,15,13,985,991,99,3,6,22,1,6,93
Female,Other,Very Good,Some coll/Assoc,28,22,24,14,991,991,99,1,1,93,1,13,91
Female,Females Aged 18-25,Good,College grad,2,21,16,20,991,993,99,2,5,93,1,12,91
Male,Other,Very Good,HS grad,10,16,16,16,991,991,99,3,7,93,1,15,91
Male,Males Aged 12-17,Very Good,12-17yrsold,30,15,15,14,991,993,5,1,2,5,1,5,91
Female,Females Aged 12-17,Good,12-17yrsold,13,15,16,17,991,991,99,2,6,1,1,6,91
Male,Other,Excellent,College grad,3,18,18,25,991,991,99,3,6,93,1,13,91
Male,Males Aged 18-25,Very Good,HS grad,12,15,12,10,10,19,99,3,7,12,1,11,30
Female,Other,Very Good,Some coll/Assoc,1,17,15,18,17,991,99,3,6,93,1,15,93
Female,Other,Very Good,Some coll/Assoc,2,18,16,15,991,993,99,3,7,93,1,15,91
Male,Males Aged 18-25,Good,HS grad,7,13,14,18,18,991,99,NA,1,1,1,8,93
Male,Other,Fair/Poor,Less HS,30,18,20,15,18,991,99,1,2,18,1,16,93
Male,Other,Very Good,Some coll/Assoc,23,14,12,13,14,993,99,2,4,30,1,15,93
Female,Other,Very Good,College grad,30,15,11,13,991,991,99,3,6,93,1,14,91
Male,Males Aged 12-17,Good,12-17yrsold,2,13,9,10,991,991,99,2,3,1,1,4,91
Male,Males Aged 18-25,Very Good,College grad,6,16,18,18,20,993,99,1,2,10,1,12,93
Female,Females Aged 18-25,Very Good,HS grad,20,12,12,14,991,993,99,1,2,3,1,8,91
Female,Other,Fair/Poor,HS grad,4,30,25,27,991,991,99,2,3,30,1,16,91
Female,Other,Very Good,College grad,20,15,13,16,991,993,99,3,7,30,1,14,91
Male,Other,Very Good,Some coll/Assoc,6,23,18,23,991,991,99,3,5,30,1,13,91
Male,Other,Excellent,Some coll/Assoc,5,13,NA,15,991,991,99,3,4,93,1,15,91
Male,Males Aged 18-25,Very Good,Some coll/Assoc,2,17,16,17,991,993,99,2,4,30,1,12,91
Male,Other,Very Good,HS grad,25,12,17,15,991,993,99,3,6,30,1,14,91
Male,Males Aged 18-25,Good,Some coll/Assoc,1,20,19,18,991,991,11,2,5,93,1,9,91
Male,Other,Very Good,College grad,12,20,15,25,991,991,99,3,7,93,1,17,91
Female,Females Aged 18-25,Good,Some coll/Assoc,5,18,17,18,991,991,99,3,5,93,1,11,91
Male,Other,Fair/Poor,Some coll/Assoc,4,79,18,14,991,991,8,3,7,93,1,17,91
Male,Males Aged 18-25,Excellent,HS grad,30,9,10,15,19,991,99,3,5,30,1,10,93
Male,Other,Excellent,Some coll/Assoc,30,18,18,18,19,993,99,3,6,30,1,14,93
Female,Other,Very Good,College grad,1,18,17,14,991,991,99,3,3,30,1,16,91
Male,Males Aged 18-25,Very Good,Less HS,15,15,15,18,991,993,99,2,2,30,1,12,91
Female,Females Aged 18-25,Excellent,Some coll/Assoc,4,17,16,14,991,991,99,3,6,93,1,8,91
Female,Other,Very Good,College grad,5,18,17,12,991,991,99,3,7,93,1,15,91
Male,Other,Very Good,College grad,15,24,21,20,43,991,99,3,7,93,1,17,93
Male,Males Aged 18-25,Very Good,HS grad,15,12,12,5,991,991,99,2,3,2,1,11,91
Male,Other,Excellent,College grad,15,15,13,12,14,993,99,3,7,10,1,15,93
Male,Males Aged 18-25,Good,HS grad,21,12,16,12,991,991,99,3,7,25,1,11,91
Male,Males Aged 12-17,Good,12-17yrsold,10,14,15,16,991,993,99,3,7,93,1,6,91
Male,Males Aged 18-25,Very Good,HS grad,30,15,NA,15,14,993,99,3,5,93,1,8,93
Male,Males Aged 18-25,Good,Some coll/Assoc,26,18,18,20,991,991,99,3,7,13,1,10,91
Male,Males Aged 18-25,Very Good,HS grad,9,18,18,19,991,991,1,2,4,93,1,8,91
Male,Males Aged 18-25,Good,HS grad,2,17,NA,19,991,991,99,3,6,93,1,11,91
Female,Other,Good,College grad,28,17,11,15,991,991,99,2,4,1,1,14,91
Female,Females Aged 18-25,Good,HS grad,20,14,14,12,15,991,99,3,6,30,1,7,93
Female,Other,Very Good,Some coll/Assoc,8,19,16,20,991,991,99,2,5,28,1,15,91
Male,Males Aged 18-25,Very Good,HS grad,30,12,14,18,991,991,99,2,3,2,1,10,91
Male,Other,Fair/Poor,Less HS,30,9,NA,6,15,993,99,1,2,30,1,13,30
